symbol,as_of,consensus,n_analysts,buy_count,hold_count,sell_count,current_price,target_mean,target_low,target_high,upside_pct
360ONE,2026-04-30,buy,11,9,2,0,1021.5,1325.18,1200.0,1525.0,29.73
3MINDIA,2026-04-30,none,1,1,0,0,32975.0,36726.0,36726.0,36726.0,11.38
ABB,2026-04-30,hold,26,10,9,7,7174.0,6198.15,4800.0,8030.0,-13.6
ACC,2026-04-30,buy,32,17,8,7,1412.2,1864.94,1200.0,2447.0,32.06
ACMESOLAR,2026-04-30,strong_buy,11,11,0,0,305.7,334.0,289.0,372.0,9.26
AIAENG,2026-04-30,hold,12,5,3,4,3907.0,4045.0,3245.0,4600.0,3.53
APLAPOLLO,2026-04-30,buy,19,16,2,1,1931.0,2261.21,1400.0,2617.0,17.1
AUBANK,2026-04-30,hold,25,13,6,6,1008.5,1068.04,775.0,1275.0,5.9
AWL,2026-04-30,none,6,3,2,1,198.8,281.67,176.0,360.0,41.68
AADHARHFC,2026-04-30,none,10,11,0,0,487.0,607.7,537.0,650.0,24.78
AARTIIND,2026-04-30,none,21,17,2,2,503.0,497.86,366.0,610.0,-1.02
AAVAS,2026-04-30,buy,20,15,3,2,1360.0,1604.7,1179.0,2272.0,17.99
ABBOTINDIA,2026-04-30,buy,7,5,1,1,25350.0,33364.29,27500.0,40000.0,31.61
ACE,2026-04-30,none,1,1,0,0,895.75,1359.0,1359.0,1359.0,51.72
ACUTAAS,2026-04-30,none,9,8,0,1,2554.3,2233.22,1170.0,2820.0,-12.57
ADANIENSOL,2026-04-30,strong_buy,8,7,1,0,1348.4,1370.88,1072.0,1665.0,1.67
ADANIENT,2026-04-30,strong_buy,2,1,0,0,2375.9,2615.0,2600.0,2630.0,10.06
ADANIGREEN,2026-04-30,strong_buy,8,7,0,1,1221.65,1216.38,864.0,1500.0,-0.43
ADANIPORTS,2026-04-30,strong_buy,23,23,0,0,1624.5,1833.04,1710.0,1960.0,12.84
ADANIPOWER,2026-04-30,strong_buy,7,7,0,0,219.63,180.14,173.0,187.0,-17.98
ATGL,2026-04-30,none,0,0,0,0,642.15,0,0,0,-100.0
ABCAPITAL,2026-04-30,none,12,12,0,0,343.6,398.83,356.0,450.0,16.07
ABFRL,2026-04-30,hold,16,4,6,6,65.37,75.12,55.0,127.0,14.92
ABLBL,2026-04-30,buy,10,7,2,1,104.45,148.5,122.0,179.0,42.17
ABREL,2026-04-30,none,9,9,0,0,1524.4,1898.89,1675.0,2325.0,24.57
ABSLAMC,2026-04-30,buy,14,12,2,0,1010.45,1107.5,920.0,1236.0,9.6
CPPLUS,2026-04-30,none,4,4,0,0,2297.0,2018.25,1850.0,2311.0,-12.14
AEGISLOG,2026-04-30,buy,6,4,2,0,705.55,841.17,638.0,1010.0,19.22
AEGISVOPAK,2026-04-30,buy,3,2,1,0,191.54,296.33,255.0,330.0,54.71
AFCONS,2026-04-30,buy,9,6,2,1,336.25,416.78,340.0,484.0,23.95
AFFLE,2026-04-30,strong_buy,11,11,0,0,1428.7,1980.0,1590.0,2280.0,38.59
AJANTPHARM,2026-04-30,buy,12,10,0,2,2823.3,3203.42,2605.0,3742.0,13.46
ALKEM,2026-04-30,hold,21,11,7,3,5337.5,5930.33,4360.0,6913.0,11.11
ABDL,2026-04-30,strong_buy,10,10,0,0,551.4,692.0,570.0,800.0,25.5
ARE&M,2026-04-30,hold,12,5,4,3,878.6,930.25,730.0,1111.0,5.88
AMBER,2026-04-30,buy,25,19,4,1,7997.0,8422.76,5463.0,10116.0,5.32
AMBUJACEM,2026-04-30,buy,41,32,7,2,444.5,579.37,370.0,784.0,30.34
ANANDRATHI,2026-04-30,hold,2,0,2,0,3602.7,3190.0,3100.0,3280.0,-11.46
ANANTRAJ,2026-04-30,none,3,3,0,0,488.75,721.0,663.0,800.0,47.52
ANGELONE,2026-04-30,buy,11,8,2,1,309.62,352.73,290.0,400.0,13.92
ANTHEM,2026-04-30,strong_buy,7,7,0,0,774.6,786.86,720.0,870.0,1.58
ANURAS,2026-04-30,none,7,3,0,4,1281.8,976.43,625.0,1680.0,-23.82
APARINDS,2026-04-30,strong_buy,7,7,0,0,12702.0,10773.43,9568.0,12750.0,-15.18
APOLLOHOSP,2026-04-30,strong_buy,30,26,2,1,7607.5,8768.57,6230.0,9800.0,15.26
APOLLOTYRE,2026-04-30,buy,23,15,5,3,414.85,534.17,416.0,620.0,28.76
APTUS,2026-04-30,none,17,15,1,1,262.1,334.88,220.0,475.0,27.77
ASAHIINDIA,2026-04-30,none,1,1,0,0,843.95,1000.0,1000.0,1000.0,18.49
ASHOKLEY,2026-04-30,buy,33,23,10,1,162.83,197.79,155.0,250.0,21.47
ASIANPAINT,2026-04-30,hold,34,14,7,13,2412.6,2652.35,1886.0,3390.0,9.94
ASTERDM,2026-04-30,strong_buy,10,10,0,0,696.9,717.1,635.0,860.0,2.9
